FIT Profiler Report
Profile stats for: records
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.00%       0.000us         0.00%       0.000us       0.000us     223.869ms        64.18%     223.869ms      22.387ms           0 b           0 b           0 b           0 b            10  
autograd::engine::evaluate_function: ConvolutionBack...         0.11%     464.655us         1.48%       6.522ms     217.391us       0.000us         0.00%     114.753ms       3.825ms           0 b           0 b      -1.97 Gb      -2.66 Gb            30  
                                   ConvolutionBackward0         0.19%     849.271us         1.37%       6.057ms     201.902us       0.000us         0.00%     114.753ms       3.825ms           0 b           0 b     705.33 Mb           0 b            30  
                             aten::convolution_backward         0.64%       2.807ms         1.18%       5.208ms     173.593us     109.492ms        31.39%     114.753ms       3.825ms           0 b           0 b     705.33 Mb     480.00 Mb            30  
[pl][profile][Strategy]SingleDeviceStrategy.training...         2.26%       9.985ms        10.28%      45.324ms       4.532ms       0.000us         0.00%      88.752ms       8.875ms           0 b           0 b       3.84 Gb     -80.00 Kb            10  
[pl][module]torch.nn.modules.container.Sequential: m...         0.50%       2.219ms         3.76%      16.600ms       1.660ms       0.000us         0.00%      87.959ms       8.796ms           0 b           0 b       3.84 Gb      -2.20 Gb            10  
                        [pl][profile]run_training_batch         0.18%     772.586us        16.62%      73.270ms       7.327ms       0.000us         0.00%      79.870ms       7.987ms           0 b           0 b     224.00 Mb      -4.50 Kb            10  
[pl][profile][LightningModule]CIFAR10LightningModule...         0.08%     371.903us        16.44%      72.469ms       7.247ms       0.000us         0.00%      79.870ms       7.987ms           0 b           0 b     224.01 Mb           0 b            10  
                              Optimizer.step#AdamW.step         6.88%      30.314ms        16.35%      72.080ms       7.208ms       0.000us         0.00%      79.870ms       7.987ms           0 b           0 b     224.01 Mb      -3.45 Gb            10  
                                          ProfilerStep*        18.36%      80.943ms        71.36%     314.615ms      31.462ms       0.000us         0.00%      77.029ms       7.703ms           0 b     -15.01 Mb           0 b       1.97 Gb            10  
                                           aten::conv2d         0.02%      89.500us         1.15%       5.056ms     168.535us       0.000us         0.00%      65.402ms       2.180ms           0 b           0 b       2.19 Gb           0 b            30  
                                      aten::convolution         0.10%     437.175us         1.13%       4.967ms     165.552us       0.000us         0.00%      65.402ms       2.180ms           0 b           0 b       2.19 Gb           0 b            30  
                                     aten::_convolution         0.24%       1.076ms         1.03%       4.529ms     150.979us       0.000us         0.00%      65.402ms       2.180ms           0 b           0 b       2.19 Gb           0 b            30  
                                aten::cudnn_convolution         0.38%       1.669ms         0.61%       2.688ms      89.610us      55.557ms        15.93%      55.557ms       1.852ms           0 b           0 b       2.19 Gb       2.19 Gb            30  
sm86_xmma_fprop_implicit_gemm_tf32f32_tf32f32_f32_nh...         0.00%       0.000us         0.00%       0.000us       0.000us      29.485ms         8.45%      29.485ms       2.457ms           0 b           0 b           0 b           0 b            12  
void cutlass__5x_cudnn::Kernel<cutlass_tensorop_s168...         0.00%       0.000us         0.00%       0.000us       0.000us      28.945ms         8.30%      28.945ms       2.631ms           0 b           0 b           0 b           0 b            11  
      [pl][module]torch.nn.modules.conv.Conv2d: model.6         0.00%       0.000us         0.00%       0.000us       0.000us      28.937ms         8.30%      28.937ms       2.894ms           0 b           0 b           0 b           0 b            10  
      [pl][module]torch.nn.modules.conv.Conv2d: model.6         0.09%     392.443us         0.34%       1.491ms     149.111us       0.000us         0.00%      28.907ms       2.891ms           0 b           0 b     320.00 Mb           0 b            10  
void cutlass__5x_cudnn::Kernel<cutlass_tensorop_s168...         0.00%       0.000us         0.00%       0.000us       0.000us      28.442ms         8.15%      28.442ms       2.586ms           0 b           0 b           0 b           0 b            11  
      [pl][module]torch.nn.modules.conv.Conv2d: model.3         0.00%       0.000us         0.00%       0.000us       0.000us      27.337ms         7.84%      27.337ms       2.734ms           0 b           0 b           0 b           0 b            10  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 440.902ms
Self CUDA time total: 348.837ms
