FIT Profiler Report
Profile stats for: records
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.00%       0.000us         0.00%       0.000us       0.000us      30.295ms       140.00%      30.295ms       3.030ms           0 b           0 b           0 b           0 b            10  
[pl][profile][Strategy]SingleDeviceStrategy.training...         0.00%       0.000us         0.00%       0.000us       0.000us      23.068ms       106.61%      23.068ms       2.307ms           0 b           0 b           0 b           0 b            10  
[pl][module]torchmetrics.classification.accuracy.Mul...         0.00%       0.000us         0.00%       0.000us       0.000us      12.443ms        57.50%      12.443ms       1.244ms           0 b           0 b           0 b           0 b            10  
[pl][profile][Strategy]SingleDeviceStrategy.training...         3.71%       9.941ms        15.54%      41.584ms       4.158ms       0.000us         0.00%       6.617ms     661.672us           0 b           0 b     496.31 Mb     -80.00 Kb            10  
autograd::engine::evaluate_function: ConvolutionBack...         0.12%     328.373us         1.77%       4.742ms     158.058us       0.000us         0.00%       6.518ms     217.268us           0 b           0 b    -280.19 Mb    -343.75 Mb            30  
                                   ConvolutionBackward0         0.04%     100.810us         1.65%       4.413ms     147.112us       0.000us         0.00%       6.518ms     217.268us           0 b           0 b      63.56 Mb           0 b            30  
                             aten::convolution_backward         0.68%       1.809ms         1.61%       4.313ms     143.752us       5.772ms        26.67%       6.518ms     217.268us           0 b           0 b      63.56 Mb      60.00 Mb            30  
                        [pl][profile]run_training_batch         0.26%     687.369us        26.77%      71.624ms       7.162ms       0.000us         0.00%       5.954ms     595.404us           0 b           0 b      49.64 Mb      -4.50 Kb            10  
[pl][profile][LightningModule]CIFAR10LightningModule...         0.14%     369.742us        26.49%      70.898ms       7.090ms       0.000us         0.00%       5.954ms     595.404us           0 b           0 b      49.64 Mb           0 b            10  
                              Optimizer.step#AdamW.step        10.76%      28.805ms        26.35%      70.502ms       7.050ms       0.000us         0.00%       5.954ms     595.404us           0 b           0 b      49.64 Mb    -446.67 Mb            10  
[pl][module]torch.nn.modules.container.Sequential: m...         0.83%       2.224ms         5.65%      15.123ms       1.512ms       0.000us         0.00%       5.835ms     583.462us           0 b           0 b     496.30 Mb    -282.50 Mb            10  
                                          ProfilerStep*        19.51%      52.202ms        69.64%     186.359ms      18.636ms       0.000us         0.00%       4.198ms     419.798us           0 b     -15.01 Mb           0 b     387.87 Mb            10  
                                           aten::conv2d         0.03%      72.950us         1.46%       3.895ms     129.820us       0.000us         0.00%       3.256ms     108.537us           0 b           0 b     280.00 Mb           0 b            30  
                                      aten::convolution         0.14%     379.093us         1.43%       3.822ms     127.388us       0.000us         0.00%       3.256ms     108.537us           0 b           0 b     280.00 Mb           0 b            30  
                                     aten::_convolution         0.14%     365.264us         1.29%       3.443ms     114.752us       0.000us         0.00%       3.256ms     108.537us           0 b           0 b     280.00 Mb           0 b            30  
autograd::engine::evaluate_function: MaxPool2DWithIn...         0.11%     286.615us         0.57%       1.520ms      50.678us       0.000us         0.00%       2.429ms      80.981us           0 b           0 b      70.00 Mb    -210.00 Mb            30  
                          MaxPool2DWithIndicesBackward0         0.03%      90.303us         0.46%       1.234ms      41.124us       0.000us         0.00%       2.429ms      80.981us           0 b           0 b     280.00 Mb           0 b            30  
                 aten::max_pool2d_with_indices_backward         0.16%     418.152us         0.43%       1.143ms      38.114us       1.893ms         8.75%       2.429ms      80.981us           0 b           0 b     280.00 Mb     280.00 Mb            30  
                                aten::cudnn_convolution         0.58%       1.558ms         0.88%       2.349ms      78.287us       2.079ms         9.61%       2.079ms      69.300us           0 b           0 b     280.00 Mb     280.00 Mb            30  
void at::native::(anonymous namespace)::max_pool_bac...         0.00%       0.000us         0.00%       0.000us       0.000us       1.893ms         8.75%       1.893ms      63.112us           0 b           0 b           0 b           0 b            30  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 267.601ms
Self CUDA time total: 21.639ms
